"gid","gene_name","fundescrp"
"57116872","moxR/moxR1","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR1"
"15608618","Rv1480","hypothetical protein"
"15608623","hemZ/hemH","ferrochelatase"
"15608628","Rv1490","PROBABLE MEMBRANE PROTEIN"
"15608677","lspA","lipoprotein signal peptidase"
"15608685","dnaE1/dnaE","DNA polymerase III subunit alpha"
"15608732","nadA","quinolinate synthetase"
"15608733","nadB","L-aspartate oxidase"
"15608737","hisD","histidinol dehydrogenase"
"57116891","hisC/hisC1","histidinol-phosphate aminotransferase"
"15608739","hisB","imidazoleglycerol-phosphate dehydratase"
"15608740","hisH","imidazole glycerol phosphate synthase subunit HisH"
"15608741","hisA","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase"
"15608743","hisF","imidazole glycerol phosphate synthase subunit HisF"
"57116892","hisI2/hisI","phosphoribosyl-AMP cyclohydrolase"
"15608747","trpE","anthranilate synthase component I"
"15608748","Rv1610","POSSIBLE CONSERVED MEMBRANE PROTEIN"
"15608749","trpC","indole-3-glycerol-phosphate synthase"
"15608750","trpB","tryptophan synthase subunit beta"
"15608751","trpA","tryptophan synthase subunit alpha"
"15608752","lgt","prolipoprotein diacylglyceryl transferase"
"15608755","pykA","pyruvate kinase"
"15608760","cydB","Probable integral membrane cytochrome D ubiquinol oxidase (subunit II) cydB (Cytochrome BD-I oxidase subunit II)"
"15608764","Rv1626","Probable two-component system transcriptional regulator"
"15608767","polA","DNA polymerase I"
"15608768","rpsA","30S ribosomal protein S1"
"15608769","coaE","dephospho-CoA kinase/unknown domain fusion protein"
"15608779","infC","translation initiation factor IF-3"
"15608787","pheS","phenylalanyl-tRNA synthetase subunit alpha"
"15608788","pheT","phenylalanyl-tRNA synthetase subunit beta"
"15608790","argC","N-acetyl-gamma-glutamyl-phosphate reductase"
"15608791","argJ","bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein"
"15608792","argB","acetylglutamate kinase"
"15608793","argD","acetylornithine aminotransferase"
"15608794","argF","ornithine carbamoyltransferase"
"15608796","argG","argininosuccinate synthase"
"15608797","argH","argininosuccinate lyase"
"15608799","pks7","Probable polyketide synthase pks7"
"15608800","pks8","Probable polyketide synthase pks8"
"15608801","pks17","Probable polyketide synthase pks17"
"15608821","Rv1683","acyl-CoA synthetase"
"15608827","tyrS","tyrosyl-tRNA synthetase"
"15608833","ppnK","inorganic polyphosphate/ATP-NAD kinase"
"15608835","Rv1697","hypothetical protein"
"15608837","pyrG","CTP synthetase"
"15608839","xerD","site-specific tyrosine recombinase XerD"
"15608846","Rv1708","PUTATIVE INITIATION INHIBITOR PROTEIN"
"15608849","Rv1711","hypothetical protein"
"15608850","cmk","cytidylate kinase"
"15608851","engA","GTP-binding protein EngA"
"15608852","Rv1714","Probable oxidoreductase"
"57116901","fadB3","PROBABLE 3-HYDROXYBUTYRYL-CoA DEHYDROGENASE FADB3 (BETA-HYDROXYBUTYRYL-CoA DEHYDROGENASE) (BHBD)"
"15608868","Rv1730c","POSSIBLE PENICILLIN-BINDING PROTEIN"
"15608876","Rv1738","hypothetical protein"
"57116904","PPE/PPE24","PPE FAMILY PROTEIN"
"15608965","Rv1828","hypothetical protein"
"15608969","gcvB","glycine dehydrogenase"
"15608987","ureC","urease subunit alpha"
"15609100","mce3R","PROBABLE TRANSCRIPTIONAL REPRESSOR (PROBABLY TETR-FAMILY) MCE3R"
"57116936","Rv2013","POSSIBLE TRANSPOSASE"
"15609163","Rv2026c","hypothetical protein"
"15609178","Rv2041c","Probable sugar-binding lipoprotein"
"15609187","Rv2050","hypothetical protein"
"15609230","tatC","Probable Sec-independent protein translocase transmembrane protein tatC"
"15609246","prcA","proteasome (alpha subunit) PrcA"
"15609247","prcB","proteasome (beta subunit) PrcB"
"15609248","Rv2111c","hypothetical protein"
"15609258","hisG","ATP phosphoribosyltransferase"
"57116947","hisI/hisE","phosphoribosyl-ATP pyrophosphatase"
"15609267","cysS2/cysS","cysteinyl-tRNA synthetase"
"15609275","lppL","Probable conserved lipoprotein LppL"
"15609282","wag31","CONSERVED HYPOTHETICAL PROTEIN WAG31"
"15609287","ftsZ","cell division protein FtsZ"
"15609288","ftsQ","POSSIBLE CELL DIVISION PROTEIN FTSQ"
"15609289","murC","UDP-N-acetylmuramate--L-alanine ligase"
"15609290","murG","N-acetylglucosaminyl transferase"
"15609291","ftsW","FtsW-like protein FtsW"
"15609292","murD","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase"
"15609293","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase,(murX/mraY)"
"15609294","murF","Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate- D-alanyl-D-alanyl ligase MurF"
"15609300","pbpB","Probable penicillin-binding membrane protein pbpB"
"15609301","Rv2164c","PROBABLE CONSERVED PROLINE RICH MEMBRANE PROTEIN"
"161352465","mraW","S-adenosyl-methyltransferase MraW"
"15609303","Rv2166c","hypothetical protein"
"15609311","Rv2174","Possible conserved integral membrane protein"
"15609315","aroG","Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible)"
"15609316","Rv2179c","hypothetical protein"
"15609319","Rv2182c","1-acylglycerol-3-phosphate O-acyltransferase"
"57116954","Rv2188c","hypothetical protein"
"15609329","trpD","anthranilate phosphoribosyltransferase"
"15609330","ctaE","PROBABLE CYTOCHROME C OXIDASE (SUBUNIT III) CTAE"
"15609331","qcrC","Probable Ubiquinol-cytochrome C reductase QcrC(cytochrome C subunit)"
"15609332","qcrA","Probable Rieske iron-sulfur protein QcrA"
"15609333","qcrB","Probable Ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit)"
"15609337","ctaC","PROBABLE TRANSMEMBRANE CYTOCHROME C OXIDASE (SUBUNIT II) CTAC"
"15609338","asnB","Probable asparagine synthetase AsnB"
"15609347","ilvE","branched-chain amino acid aminotransferase"
"15609348","gcvT","glycine cleavage system aminomethyltransferase T"
"15609352","sucB/dlaT","dihydrolipoamide acetyltransferase"
"15609354","lipB","lipoyltransferase"
"15609355","lipA","lipoyl synthase"
"15609356","Rv2219","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15609357","glnA1","GLUTAMINE SYNTHETASE GLNA1 (GLUTAMINE SYNTHASE) (GS-I)"
"15609358","glnE","GLUTAMATE-AMMONIA-LIGASE ADENYLYLTRANSFERASE GLNE (Glutamine-synthetase adenylyltransferase)"
"15609362","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase"
"15609366","Rv2229c","hypothetical protein"
"15609368","cobC","hypothetical protein"
"15609372","Rv2235","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15609379","Rv2242","hypothetical protein"
"15609381","acpM/acpP","acyl carrier protein"
"15609382","kasA","3-oxoacyl-(acyl carrier protein) synthase II"
"15609383","kasB","3-oxoacyl-(acyl carrier protein) synthase II"
"15609384","accD6","ACETYL/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD6"
"15609388","Rv2251","POSSIBLE FLAVOPROTEIN"
"15609397","Rv2260","hypothetical protein"
"15609405","cyp128","PROBABLE CYTOCHROME P450 128 CYP128"
"15609420","Rv2283","hypothetical protein"
"15609456","Rv2319c","hypothetical protein"
"15609462","Rv2325c","hypothetical protein"
"15609475","moeW","hypothetical protein"
"15609480","dnaG","DNA primase"
"15609494","glyS","glycyl-tRNA synthetase"
"15609498","Rv2361c","LONG (C50) CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHASE (Z-DECAPRENYL DIPHOSPHATE SYNTHASE)"
"57116977","era","GTP-binding protein Era (bex/era)"
"15609502","Rv2365c","hypothetical protein"
"15609510","dnaJ2","PROBABLE CHAPERONE PROTEIN DNAJ2"
"15609515","mbtG","LYSINE-N-OXYGENASE MBTG (L-LYSINE 6-MONOOXYGENASE) (LYSINE N6-HYDROXYLASE)"
"15609519","mbtC","POLYKETIDE SYNTHETASE MBTC (POLYKETIDE SYNTHASE)"
"57116981","trpE2/mbtI","salicylate synthase MbtI"
"15609528","nirA","PROBABLE FERREDOXIN-DEPENDENT NITRITE REDUCTASE NIRA"
"15609529","cysH","phosphoadenosine phosphosulfate reductase"
"57116983","cysA/cysA1","PROBABLE SULFATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER CYSA1"
"15609535","cysW","PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYSW"
"15609536","cysT","PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYST"
"15609537","subI","PROBABLE SULFATE-BINDING LIPOPROTEIN SUBI"
"15609549","rpsT","30S ribosomal protein S20"
"15609555","Rv2418c","hypothetical protein"
"15609558","nadD","nicotinic acid mononucleotide adenyltransferase"
"15609574","Rv2437","hypothetical protein"
"57116990","nadE","NAD synthetase"
"15609576","proB","gamma-glutamyl kinase"
"15609577","obg/obgE","GTPase ObgE"
"15609578","rpmA","50S ribosomal protein L27"
"15609579","rplU","50S ribosomal protein L21"
"15609581","rne","POSSIBLE RIBONUCLEASE E RNE"
"15609584","folC","PROBABLE FOLYLPOLYGLUTAMATE SYNTHASE PROTEIN FOLC (FOLYLPOLY-GAMMA-GLUTAMATE SYNTHETASE) (FPGS)"
"15609585","valS","valyl-tRNA synthetase"
"15609594","clpX","ATP-dependent protease ATP-binding subunit"
"15609597","clpP2","ATP-dependent Clp protease proteolytic subunit"
"15609614","Rv2477c","putative ABC transporter ATP-binding protein"
"15609637","fadE19","POSSIBLE ACYL-CoA DEHYDROGENASE FADE19 (MMGC)"
"15609644","Rv2507","POSSIBLE CONSERVED PROLINE RICH MEMBRANE PROTEIN"
"15609647","Rv2510c","hypothetical protein"
"15609648","orn","oligoribonuclease"
"15609652","Rv2515c","hypothetical protein"
"57116997","Rv2516c","hypothetical protein"
"15609661","fas","PROBABLE FATTY ACID SYNTHASE FAS (FATTY ACID SYNTHETASE)"
"15609670","nusB","transcription antitermination protein NusB"
"15609671","efp","elongation factor P"
"15609674","aroD","3-dehydroquinate dehydratase"
"15609675","aroB","3-dehydroquinate synthase"
"15609676","aroK","shikimate kinase"
"15609677","aroF","chorismate synthase"
"15609689","aroE","shikimate 5-dehydrogenase"
"15609691","Rv2554c","Holliday junction resolvase-like protein"
"15609692","alaS","alanyl-tRNA synthetase"
"15609717","hisS","histidyl-tRNA synthetase"
"15609719","ppiB","PROBABLE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE B PPIB (CYCLOPHILIN) (PPIASE) (ROTAMASE) (PEPTIDYLPROLYL ISOMERASE)"
"15609748","Rv2611c","lipid A biosynthesis lauroyl acyltransferase"
"15609750","Rv2613c","hypothetical protein"
"15609751","thrS","threonyl-tRNA synthetase"
"15609760","TB31.7","hypothetical protein"
"15609810","Rv2673","POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN"
"57117013","dxs/dxs1","1-deoxy-D-xylulose-5-phosphate synthase"
"15609834","dut","deoxyuridine 5?xc2xb1-triphosphate nucleotidohydrolase"
"15609835","Rv2698","PROBABLE CONSERVED ALANINE RICH TRANSMEMBRANE PROTEIN"
"15609837","Rv2700","POSSIBLE CONSERVED SECRETED ALANINE RICH PROTEIN"
"15609839","ppgK","POLYPHOSPHATE GLUCOKINASE PPGK (POLYPHOSPHATE-GLUCOSE PHOSPHOTRANSFERASE)"
"15609840","sigA","RNA polymerase sigma factor RpoD"
"15609847","sigB","RNA polymerase sigma factor SigB"
"15609863","dapF","diaminopimelate epimerase"
"15609864","miaA","tRNA delta(2)-isopentenylpyrophosphate transferase"
"15609876","Rv2739c","POSSIBLE ALANINE RICH TRANSFERASE"
"15609884","Rv2747","N-acetylglutamate synthase"
"15609885","ftsK","POSSIBLE CELL DIVISION TRANSMEMBRANE PROTEIN FTSK"
"15609890","dapA","dihydrodipicolinate synthase"
"15609891","thyX","FAD-dependent thymidylate synthase"
"15609923","ribF","bifunctional riboflavin kinase/FMN adenylyltransferase"
"15609949","Rv2812","PROBABLE TRANSPOSASE"
"15609950","Rv2813","hypothetical protein"
"15609954","Rv2817c","hypothetical protein"
"15609964","Rv2827c","hypothetical protein"
"15609965","Rv2828c","hypothetical protein"
"15609967","Rv2830c","hypothetical protein"
"15609969","ugpC","PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER UGPC"
"15609970","ugpB","PROBABLE Sn-GLYCEROL-3-PHOSPHATE-BINDING LIPOPROTEIN UGPB"
"15609974","Rv2837c","hypothetical protein"
"15609976","infB","translation initiation factor IF-2"
"15609978","nusA","transcription elongation factor NusA"
"15609982","proS","prolyl-tRNA synthetase"
"15609983","efpA","POSSIBLE INTEGRAL MEMBRANE EFFLUX PROTEIN EFPA"
"57117030","gorA/mtr","mycothione/glutathione reductase"
"15609993","nicT","POSSIBLE NICKEL-TRANSPORT INTEGRAL MEMBRANE PROTEIN NICT"
"15610006","Rv2869c","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610018","cdsA","PROBABLE INTEGRAL MEMBRANE PHOSPHATIDATE CYTIDYLYLTRANSFERASE CDSA (CDP-DIGLYCERIDE SYNTHETASE) (CDP-DIGLYCERIDE PYROPHOSPHORYLASE) (CDP-DIACYLGLYCEROL SYNTHASE) (CDS) (CTP:PHOSPHATIDATE CYTIDYLYLTRANSFERASE) (CDP-DAG SYNTHASE) (CDP-DG SYNTHETASE)"
"15610019","frr","ribosome recycling factor"
"15610020","pyrH","uridylate kinase"
"15610026","tsf","elongation factor Ts"
"15610027","rpsB","30S ribosomal protein S2"
"15610034","Rv2897c","hypothetical protein"
"15610040","lepB","PROBABLE SIGNAL PEPTIDASE I LEPB (SPASE I) (LEADER PEPTIDASE I)."
"15610041","rplS","50S ribosomal protein L19"
"15610043","trmD","tRNA (guanine-N(1)-)-methyltransferase"
"15610044","rimM","16S rRNA-processing protein"
"15610045","Rv2908c","hypothetical protein"
"15610053","ffh","PROBABLE SIGNAL RECOGNITION PARTICLE PROTEIN FFH (FIFTY-FOUR HOMOLOG) (SRP PROTEIN)"
"15610062","rnc","ribonuclease III"
"15610063","Rv2926c","hypothetical protein"
"15610064","Rv2927c","hypothetical protein"
"15610104","pca","pyruvate carboxylase"
"15610105","Rv2968c","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"
"15610106","Rv2969c","POSSIBLE CONSERVED MEMBRANE OR SECRETED PROTEIN"
"15610108","Rv2971","PROBABLE OXIDOREDUCTASE"
"15610114","thiL","thiamine monophosphate kinase"
"15610118","ddlA/ddl","D-alanyl-alanine synthetase A"
"15610123","hupB","PROBABLE DNA-BINDING PROTEIN HU HOMOLOG HUPB (HISTONE-LIKE PROTEIN) (HLP) (21-KDA LAMININ-2-BINDING PROTEIN)"
"15610124","leuD","isopropylmalate isomerase small subunit"
"57117041","gltS/gltX","glutamyl-tRNA synthetase"
"15610132","leuB","3-isopropylmalate dehydrogenase"
"57117042","serA/serA1","PROBABLE D-3-PHOSPHOGLYCERATE DEHYDROGENASE SERA1 (PGDH)"
"15610136","lppY","PROBABLE CONSERVED LIPOPROTEIN LPPY"
"15610138","ilvC","ketol-acid reductoisomerase"
"15610139","ilvN/ilvH","acetolactate synthase 3 regulatory subunit"
"57117044","ilvB/ilvB1","acetolactate synthase 1 catalytic subunit"
"15610146","gatB","aspartyl/glutamyl-tRNA amidotransferase subunit B"
"15610148","gatA","aspartyl/glutamyl-tRNA amidotransferase subunit A"
"15610151","ligA","NAD-dependent DNA ligase LigA"
"57117045","PPE/PPE46","PPE FAMILY PROTEIN"
"15610162","iscS","PROBABLE CYSTEINE DESULFURASE ISCS (NIFS PROTEIN HOMOLOG) (NITROGENASE METALLOCLUSTERS BIOSYNTHESIS PROTEIN NIFS)"
"15610166","fixA","PROBABLE ELECTRON TRANSFER FLAVOPROTEIN (BETA-SUBUNIT) FIXA (BETA-ETF) (ELECTRON TRANSFER FLAVOPROTEIN SMALL SUBUNIT) (ETFSS)"
"15610167","Rv3030","hypothetical protein"
"15610168","Rv3031","hypothetical protein"
"15610169","Rv3032","POSSIBLE TRANSFERASE"
"15610179","serB2","phosphoserine phosphatase"
"15610180","ctaD","PROBABLE CYTOCHROME C OXIDASE POLYPEPTIDE I CTAD (CYTOCHROME AA3 SUBUNIT 1)"
"57117051","nrdG/nrdF","ribonucleotide-diphosphate reductase subunit beta"
"15610188","nrdE","ribonucleotide-diphosphate reductase subunit alpha"
"15610238","ftsX","PUTATIVE CELL DIVISION PROTEIN FTSX (SEPTATION COMPONENT-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER)"
"15610242","prfB","peptide chain release factor 2"
"57117055","moaA/moaA1","PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN A MOAA1"
"57117057","moaC","molybdenum cofactor biosynthesis protein C"
"57117058","moaD/moaD1","PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN D MOAD1 (MOLYBDOPTERIN CONVERTING FACTOR SMALL SUBUNIT) (MOLYBDOPTERIN [MPT] CONVERTING FACTOR, SUBUNIT 1)"
"15610250","Rv3113","POSSIBLE PHOSPHATASE"
"15610267","Rv3131","hypothetical protein"
"15610268","devS","TWO COMPONENT SENSOR HISTIDINE KINASE DEVS"
"57117064","PPE/PPE50","PPE FAMILY PROTEIN"
"15610273","Rv3137","PROBABLE MONOPHOSPHATASE"
"15610275","fadE24","PROBABLE ACYL-CoA DEHYDROGENASE FADE24"
"15610276","fadE23","PROBABLE ACYL-CoA DEHYDROGENASE FADE23"
"15610313","Rv3177","POSSIBLE PEROXIDASE (NON-HAEM PEROXIDASE)"
"15610334","uvrD2","PROBABLE ATP-DEPENDENT DNA HELICASE II UVRD2"
"15610337","Rv3201c","PROBABLE ATP-DEPENDENT DNA HELICASE"
"15610379","Rv3243c","hypothetical protein"
"15610380","lpqB","PROBABLE CONSERVED LIPOPROTEIN LPQB"
"15610381","mtrB","TWO COMPONENT SENSORY TRANSDUCTION HISTIDINE KINASE MTRB"
"15610384","sahH","S-adenosyl-L-homocysteine hydrolase"
"15610391","manA","PROBABLE MANNOSE-6-PHOSPHATE ISOMERASE MANA (PHOSPHOMANNOSE ISOMERASE) (PHOSPHOMANNOISOMERASE) (PMI) (PHOSPHOHEXOISOMERASE) (PHOSPHOHEXOMUTASE)"
"15610393","pmmA/manB","phosphomannomutase/phosphoglucomutase"
"57117081","rmlA2/manB","D-ALPHA-D-MANNOSE-1-PHOSPHATE GUANYLYLTRANSFERASE MANB (D-ALPHA-D-HEPTOSE-1-PHOSPHATE GUANYLYLTRANSFERASE)"
"57117082","wbbL/wbbL1","PROBABLE dTDP-RHA:A-D-GlcNAc-DIPHOSPHORYL POLYPRENOL, A-3-L-RHAMNOSYL TRANSFERASE WBBL1 (ALPHA-L-RHAMNOSE-(1->3)-ALPHA-D-GlcNAc(1->P)-P-DECAPRENY L)"
"15610403","Rv3267","CONSERVED HYPOTHETICAL PROTEIN (CPSA-RELATED PROTEIN)"
"15610407","Rv3271c","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"
"15610411","purE","phosphoribosylaminoimidazole carboxylase catalytic subunit"
"15610417","Rv3281","hypothetical protein"
"15610421","accA3","(accA3),PROBABLE BIFUNCTIONAL PROTEIN ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE (ALPHA CHAIN) ACCA3: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)"
"15610468","nagA","PROBABLE N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE NAGA (GLCNAC 6-P DEACETYLASE)"
"15610472","trpS","tryptophanyl-tRNA synthetase"
"15610477","metA/metX","homoserine O-acetyltransferase"
"57117092","PPE/PPE54","PPE FAMILY PROTEIN"
"15610492","folD","PROBABLE BIFUNCTIONAL PROTEIN FOLD: METHYLENETETRAHYDROFOLATE DEHYDROGENASE + METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE"
"15610508","otsB2","POSSIBLE TREHALOSE 6-PHOSPHATE PHOSPHATASE OTSB2 (TREHALOSE-PHOSPHATASE) (TPP)"
"15610532","guaA","bifunctional GMP synthase/glutamine amidotransferase protein"
"57117104","idsA/idsA1","PROBABLE MULTIFUNCTIONAL GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA1 (GGPP SYNTHETASE) (GGPPSASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE): DIMETHYLALLYLTRANSFERASE (PRENYLTRANSFERASE) (GERANYL-DIPHOSPHATE SYNTHASE) + GERANYLTRANSTRANSFERASE (FARNESYL"
"15610547","guaB2","inositol-5-monophosphate dehydrogenase"
"15610553","groEL1/groEL","chaperonin GroEL"
"15610554","groES","co-chaperonin GroES"
"15610558","Rv3422c","hypothetical protein"
"15610559","alr","alanine racemase"
"15610563","Rv3427c","POSSIBLE TRANSPOSASE"
"15610572","glmS","D-fructose-6-phosphate amidotransferase"
"15610577","mrsA","PROBABLE PHOSPHO-SUGAR MUTASE / MRSA PROTEIN HOMOLOG"
"15610579","rplM","50S ribosomal protein L13"
"161352460","truA","tRNA pseudouridine synthase A"
"15610593","rpoA","DNA-directed RNA polymerase subunit alpha"
"15610594","rpsD","30S ribosomal protein S4"
"15610595","rpsK","30S ribosomal protein S11"
"15610598","infA","translation initiation factor IF-1"
"15610600","rmlB","dTDP-GLUCOSE 4,6-DEHYDRATASE RMLB"
"15610601","rmlC","dTDP-4-DEHYDRORHAMNOSE 3,5-EPIMERASE RMLC (dTDP-4-KETO-6-DEOXYGLUCOSE 3,5-EPIMERASE) (dTDP-L-RHAMNOSE SYNTHETASE) (THYMIDINE DIPHOSPHO-4-KETO-RHAMNOSE 3,5-EPIMERASE)"
"15610626","otsA","PROBABLE ALPHA, ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] OTSA (TREHALOSE-6-PHOSPHATE SYNTHASE) (UDP-GLUCOSE-GLUCOSEPHOSPHATE GLUCOSYLTRANSFERASE) (TREHALOSEPHOSPHATE-UDP GLUCOSYLTRANSFERASE) (TREHALOSE-6-PHOSPHATE SYNTHETASE) (TREHALOSE-PHOSP"
"57117122","ufaA2","PROBABLE DEHYDROGENASE"
"15610695","Rv3559c","short chain dehydrogenase"
"15610700","fadE33","PROBABLE ACYL-CoA DEHYDROGENASE FADE33"
"15610715","Rv3579c","POSSIBLE TRNA/RRNA METHYLTRANSFERASE"
"57117128","cysS","cysteinyl-tRNA synthetase"
"15610717","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
"15610718","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"15610729","lpqF","PROBABLE CONSERVED LIPOPROTEIN LPQF"
"57117131","clpC/clpC1","PROBABLE ATP-DEPENDENT PROTEASE ATP-BINDING SUBUNIT CLPC1"
"15610733","lsr2","PROBABLE IRON-REGULATED LSR2 PROTEIN PRECURSOR"
"15610734","lysS","lysyl-tRNA synthetase"
"15610738","panC","pantoate--beta-alanine ligase"
"57117132","Rv3604c","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN RICH IN ALANINE AND ARGININE AND PROLINE"
"57117133","folX/folB","PROBABLE DIHYDRONEOPTERIN ALDOLASE FOLB (DHNA)"
"57117134","folP/folP1","DIHYDROPTEROATE SYNTHASE 1 FOLP (DHPS 1) (DIHYDROPTEROATE PYROPHOSPHORYLASE 1) (DIHYDROPTEROATE DIPHOSPHORYLASE 1)"
"15610745","folE","GTP cyclohydrolase I"
"15610746","ftsH","MEMBRANE-BOUND PROTEASE FTSH (CELL DIVISION PROTEIN)"
"15610747","Rv3611","HYPOTHETICAL ARGININE AND PROLINE RICH PROTEIN"
"15610761","mesJ","POSSIBLE CELL CYCLE PROTEIN MESJ"
"15610763","Rv3627c","hypothetical protein"
"57117137","rmlB2/galE1","UDP-GLUCOSE 4-EPIMERASE GALE1 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE)"
"15610771","Rv3635","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610782","topA","DNA topoisomerase I"
"15610784","cspA","PROBABLE COLD SHOCK PROTEIN A CSPA"
"15610794","Rv3658c","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610796","Rv3660c","hypothetical protein"
"15610802","dppA","PROBABLE PERIPLASMIC DIPEPTIDE-BINDING LIPOPROTEIN DPPA"
"15610805","Rv3669","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610815","Rv3679","PROBABLE ANION TRANSPORTER ATPASE"
"15610844","asd","aspartate-semialdehyde dehydrogenase"
"15610845","ask","aspartate kinase"
"161352459","leuA","2-isopropylmalate synthase"
"15610848","Rv3712","POSSIBLE LIGASE"
"15610849","cobQ2","POSSIBLE COBYRIC ACID SYNTHASE COBQ2"
"15610857","dnaZX","DNA polymerase III subunits gamma and tau"
"57117147","Rv3722c","hypothetical protein"
"15610888","Rv3752c","POSSIBLE CYTIDINE/DEOXYCYTIDYLATE DEAMINASE"
"15610914","Rv3778c","POSSIBLE AMINOTRANSFERASE"
"15610917","rfbE","PROBABLE O-ANTIGEN/LIPOPOLYSACCHARIDE TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER RFBE"
"57117155","rfbE","POSSIBLE L-RHAMNOSYLTRANSFERASE"
"15610926","Rv3790","PROBABLE OXIDOREDUCTASE"
"15610927","Rv3791","short chain dehydrogenase"
"15610928","Rv3792","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610929","embC","INTEGRAL MEMBRANE INDOLYLACETYLINOSITOL ARABINOSYLTRANSFERASE EMBC (ARABINOSYLINDOLYLACETYLINOSITOL SYNTHASE)"
"15610931","embB","INTEGRAL MEMBRANE INDOLYLACETYLINOSITOL ARABINOSYLTRANSFERASE EMBB (ARABINOSYLINDOLYLACETYLINOSITOL SYNTHASE)"
"57117158","accD4","PROBABLE PROPIONYL-CoA CARBOXYLASE BETA CHAIN 4 ACCD4 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE)"
"15610936","pks13","POLYKETIDE SYNTHASE PKS13"
"15610937","fadD32","acyl-CoA synthetase"
"15610938","Rv3802c","PROBABLE CONSERVED MEMBRANE PROTEIN"
"15610941","Rv3805c","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"
"15610942","Rv3806c","phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase"
"15610944","glfT","BIFUNCTIONAL UDP-GALACTOFURANOSYL TRANSFERASE GLFT"
"15610970","serS","seryl-tRNA synthetase"
"15610994","gltD","glutamate synthase subunit beta"
"15610995","gltB","PROBABLE FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE [NADPH] (LARGE SUBUNIT) GLTB (L-GLUTAMATE SYNTHASE) (L-GLUTAMATE SYNTHETASE) (NADH-GLUTAMATE SYNTHASE) (GLUTAMATE SYNTHASE (NADH))(NADPH-GOGAT)"
"57117168","pcnA","PROBABLE POLY(A) POLYMERASE PCNA (POLYNUCLEOTIDE ADENYLYLTRANSFERASE) (NTP POLYMERASE) (RNA ADENYLATING ENZYME) (POLY(A) POLYMERASE)"
"15611049","trxB2","PROBABLE THIOREDOXIN REDUCTASE TRXB2 (TRXR) (TR)"
"57117169","cwlM","PROBABLE HYDROLASE"
"57117170","parA/parB","PROBABLE CHROMOSOME PARTITIONING PROTEIN PARB"
