"access_num","koid","cogid","description","ec"
"CEG0648","K00700","COG0296G","1,4-alpha-glucan branching enzyme","[EC:2.4.1.18]"
"CEG0649","K00788","COG0352H","thiamine-phosphate pyrophosphorylase","[EC:2.5.1.3]"
"CEG0650","K00826","COG0115EH","branched-chain amino acid aminotransferase","[EC:2.6.1.42]"
"CEG0651","K00833","COG0161H","adenosylmethionine-8-amino-7-oxononanoate aminotransferase","[EC:2.6.1.62]"
"CEG0652","K00864","COG0554C","glycerol kinase","[EC:2.7.1.30]"
"CEG0653","K00869","COG1577I","mevalonate kinase","[EC:2.7.1.36]"
"CEG0654","K00876","COG0572F","uridine kinase","[EC:2.7.1.48]"
"CEG0655","K00879","COG1070G","L-fuculokinase","[EC:2.7.1.51]"
"CEG0656","K00901","---","diacylglycerol kinase","[EC:2.7.1.107]"
"CEG0657","K00930","COG0548E","acetylglutamate/acetylaminoadipate kinase","[EC:2.7.2.8 2.7.2.-]"
"CEG0658","K00931","COG0263E","glutamate 5-kinase","[EC:2.7.2.11]"
"CEG0659","K00957","COG0175EH","sulfate adenylyltransferase subunit 2","[EC:2.7.7.4]"
"CEG0660","K00973","COG1209M","glucose-1-phosphate thymidylyltransferase","[EC:2.7.7.24]"
"CEG0661","K00980","COG0615MI","glycerol-3-phosphate cytidylyltransferase","[EC:2.7.7.39]"
"CEG0662","K01043","COG0463M,COG0438M","---","---"
"CEG0663","K01079","COG0560E","phosphoserine phosphatase","[EC:3.1.3.3]"
"CEG0664","K01092","COG0483G","myo-inositol-1(or 4)-monophosphatase","[EC:3.1.3.25]"
"CEG0665","K01112","COG0546R,COG0483G","---","---"
"CEG0666","K01139","COG0317TK","guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase","[EC:3.1.7.2]"
"CEG0667","K01147","COG4776K","exoribonuclease II","[EC:3.1.13.1]"
"CEG0668","K01151","COG0648L","deoxyribonuclease IV","[EC:3.1.21.2]"
"CEG0669","K01182","---","oligo-1,6-glucosidase","[EC:3.2.1.10]"
"CEG0670","K01243","COG0775F","S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase","[EC:3.2.2.9]"
"CEG0671","K01262","COG0006E","Xaa-Pro aminopeptidase","[EC:3.4.11.9]"
"CEG0672","K01423","COG0006E,COG0612R","---","---"
"CEG0673","K01428","COG0804E","urease subunit alpha","[EC:3.5.1.5]"
"CEG0674","K01443","COG1820G","N-acetylglucosamine-6-phosphate deacetylase","[EC:3.5.1.25]"
"CEG0675","K01448","COG0860M","N-acetylmuramoyl-L-alanine amidase","[EC:3.5.1.28]"
"CEG0676","K01573","COG3630C","oxaloacetate decarboxylase, gamma subunit","[EC:4.1.1.3]"
"CEG0677","K01609","COG0134E","indole-3-glycerol phosphate synthase","[EC:4.1.1.48]"
"CEG0678","K01626","COG0722E,COG3200E","3-deoxy-7-phosphoheptulonate synthase","[EC:2.5.1.54]"
"CEG0679","K01641","COG3425I","hydroxymethylglutaryl-CoA synthase","[EC:2.3.3.10]"
"CEG0680","K01644","COG2301G","citrate lyase subunit beta / citryl-CoA lyase","[EC:4.1.3.6 4.1.3.34]"
"CEG0681","K01653","COG0440E","acetolactate synthase I/III small subunit","[EC:2.2.1.6]"
"CEG0682","K01657","COG0147EH","anthranilate synthase component I","[EC:4.1.3.27]"
"CEG0683","K01658","COG0512EH","anthranilate synthase component II","[EC:4.1.3.27]"
"CEG0684","K01679","COG0114C","fumarate hydratase, class II","[EC:4.2.1.2]"
"CEG0685","K01681","COG1048C","aconitate hydratase 1","[EC:4.2.1.3]"
"CEG0686","K01693","COG0131E","imidazoleglycerol-phosphate dehydratase","[EC:4.2.1.19]"
"CEG0687","K01703","---","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","[EC:4.2.1.33 4.2.1.35]"
"CEG0688","K01710","COG1088M","dTDP-glucose 4,6-dehydratase","[EC:4.2.1.46]"
"CEG0689","K01734","COG1803G","methylglyoxal synthase","[EC:4.2.3.3]"
"CEG0690","K01737","COG0720H","6-pyruvoyl tetrahydrobiopterin synthase","[EC:4.2.3.12]"
"CEG0691","K01745","COG2986E","histidine ammonia-lyase","[EC:4.3.1.3]"
"CEG0692","K01766","COG0520E","cysteine sulfinate desulfinase","[EC:4.4.1.-]"
"CEG0693","K01802","COG0545O,COG0760O","peptidylprolyl isomerase","[EC:5.2.1.8]"
"CEG0694","K01809","COG1482G","mannose-6-phosphate isomerase","[EC:5.3.1.8]"
"CEG0695","K01814","COG0106E","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","[EC:5.3.1.16]"
"CEG0696","K01817","COG0106E,COG0135E","phosphoribosylanthranilate isomerase","[EC:5.3.1.24]"
"CEG0697","K01839","COG1015G","phosphopentomutase","[EC:5.4.2.7]"
"CEG0698","K01903","COG0045C","succinyl-CoA synthetase beta subunit","[EC:6.2.1.5]"
"CEG0699","K01934","---","5-formyltetrahydrofolate cyclo-ligase","[EC:6.3.3.2]"
"CEG0700","K01935","COG0132H","dethiobiotin synthetase","[EC:6.3.3.3]"
"CEG0701","K01940","COG0137E","argininosuccinate synthase","[EC:6.3.4.5]"
"CEG0702","K01950","COG0171H,COG0388R","NAD+ synthase (glutamine-hydrolysing)","[EC:6.3.5.1]"
"CEG0703","K01956","COG0505EF","carbamoyl-phosphate synthase small subunit","[EC:6.3.5.5]"
"CEG0704","K01966","COG4799I","propionyl-CoA carboxylase beta chain","[EC:6.4.1.3]"
"CEG0705","K02011","COG1178P","iron(III) transport system permease protein","---"
"CEG0706","K02016","COG4592P","iron complex transport system substrate-binding protein","---"
"CEG0707","K02023","COG3839G","multiple sugar transport system ATP-binding protein","---"
"CEG0708","K02035","COG0747E,COG4166E","peptide/nickel transport system substrate-binding protein","---"
"CEG0709","K02039","COG0704P","phosphate transport system protein","---"
"CEG0710","K02047","COG4208P","sulfate transport system permease protein","---"
"CEG0711","K02056","COG1129G,COG3845R","simple sugar transport system ATP-binding protein","[EC:3.6.3.17]"
"CEG0712","K02066","COG0767Q","putative ABC transport system permease protein","---"
"CEG0713","K02073","COG1464P","D-methionine transport system substrate-binding protein","---"
"CEG0714","K02197","COG2332O","cytochrome c-type biogenesis protein CcmE","---"
"CEG0715","K02198","COG1138O,COG1333O","cytochrome c-type biogenesis protein CcmF","---"
"CEG0716","K02200","COG3088O","cytochrome c-type biogenesis protein CcmH","---"
"CEG0717","K02221","COG0762S","YggT family protein","---"
"CEG0718","K02242","COG1040R","competence protein ComFC","---"
"CEG0719","K02300","COG3125C","cytochrome o ubiquinol oxidase operon protein cyoD","---"
"CEG0720","K02317","COG5529R","DNA replication protein DnaT","---"
"CEG0721","K02339","COG2927L","DNA polymerase III subunit chi","[EC:2.7.7.7]"
"CEG0722","K02344","COG3050L","DNA polymerase III subunit psi","[EC:2.7.7.7]"
"CEG0723","K02362","COG2977Q","enterobactin synthetase component D","[EC:2.7.8.-]"
"CEG0724","K02415","COG1580N","flagellar FliL protein","---"
"CEG0725","K02417","COG1886NU","flagellar motor switch protein FliN/FliY","---"
"CEG0726","K02427","COG0293J","ribosomal RNA large subunit methyltransferase E","[EC:2.1.1.-]"
"CEG0727","K02500","COG0107E","cyclase","[EC:4.1.3.-]"
"CEG0728","K02501","COG0118E","glutamine amidotransferase","[EC:2.4.2.-]"
"CEG0729","K02503","COG0537FGR","Hit-like protein involved in cell-cycle regulation","---"
"CEG0730","K02528","COG0030J","16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase","[EC:2.1.1.182]"
"CEG0731","K02529","COG1609K","LacI family transcriptional regulator","---"
"CEG0732","K02548","COG1575H","1,4-dihydroxy-2-naphthoate octaprenyltransferase","[EC:2.5.1.74]"
"CEG0733","K02549","COG4948MR","O-succinylbenzoate synthase","[EC:4.2.1.113]"
"CEG0734","K02574","COG0348C","ferredoxin-type protein NapH","---"
"CEG0735","K02616","COG3327K","phenylacetic acid degradation operon negative regulatory protein","---"
"CEG0736","K02760","COG1440G","PTS system, cellobiose-specific IIB component","[EC:2.7.1.69]"
"CEG0737","K02773","COG1762GT","PTS system, galactitol-specific IIA component","[EC:2.7.1.69]"
"CEG0738","K02779","COG1263G","PTS system, glucose-specific IIC component","---"
"CEG0739","K02837","COG4108J","peptide chain release factor RF-3","---"
"CEG0740","K02843","COG0859M","heptosyltransferase II","[EC:2.4.-.-]"
"CEG0741","K02853","---","4-alpha-L-fucosyltransferase","[EC:2.4.1.-]"
"CEG0742","K02858","COG0108H","3,4-dihydroxy 2-butanone 4-phosphate synthase","[EC:4.1.99.12]"
"CEG0743","K03116","COG1826U","sec-independent protein translocase protein TatA","---"
"CEG0744","K03147","COG0422H","thiamine biosynthesis protein ThiC","---"
"CEG0745","K03149","COG2022H","thiamine biosynthesis ThiG","---"
"CEG0746","K03151","COG0301H","thiamine biosynthesis protein ThiI","---"
"CEG0747","K03154","COG2104H","sulfur carrier protein","---"
"CEG0748","K03184","COG0654HC","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase","[EC:1.14.13.-]"
"CEG0749","K03186","COG0163H","3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiX","[EC:4.1.1.-]"
"CEG0750","K03273","COG0241E","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","[EC:3.1.3.-]"
"CEG0751","K03293","COG0833E","amino acid transporter, AAT family","---"
"CEG0752","K03306","COG0306P","inorganic phosphate transporter, PiT family","---"
"CEG0753","K03310","COG1115E","alanine or glycine:cation symporter, AGCS family","---"
"CEG0754","K03315","COG1757C","Na+:H+ antiporter, NhaC family","---"
"CEG0755","K03317","COG1972F","concentrative nucleoside transporter, CNT family","---"
"CEG0756","K03406","COG0840NT","methyl-accepting chemotaxis protein","---"
"CEG0757","K03413","COG0784T","two-component system, chemotaxis family, response regulator CheY","---"
"CEG0758","K03474","COG0854H","pyridoxine 5-phosphate synthase","[EC:2.6.99.2]"
"CEG0759","K03498","COG0168P","trk system potassium uptake protein TrkH","---"
"CEG0760","K03517","COG0379H","quinolinate synthase","[EC:2.5.1.72]"
"CEG0761","K03522","COG2025C","electron transfer flavoprotein alpha subunit","---"
"CEG0762","K03525","COG1521K","type III pantothenate kinase","[EC:2.7.1.33]"
"CEG0763","K03555","COG0249L","DNA mismatch repair protein MutS","---"
"CEG0764","K03557","COG2901KL","Fis family transcriptional regulator, factor for inversion stimulation protein","---"
"CEG0765","K03560","COG0848U","biopolymer transport protein TolR","---"
"CEG0766","K03561","COG0811U","biopolymer transport protein ExbB","---"
"CEG0767","K03562","COG0811U","biopolymer transport protein TolQ","---"
"CEG0768","K03574","COG1051F,COG0494LR","7,8-dihydro-8-oxoguanine triphosphatase","[EC:3.6.1.-]"
"CEG0769","K03596","COG0481M","GTP-binding protein LepA","---"
"CEG0770","K03602","COG1722L","exodeoxyribonuclease VII small subunit","[EC:3.1.11.6]"
"CEG0771","K03612","COG4659C","electron transport complex protein RnfG","---"
"CEG0772","K03613","COG4660C","electron transport complex protein RnfE","---"
"CEG0773","K03629","COG1195L","DNA replication and repair protein RecF","---"
"CEG0774","K03637","COG0315H","molybdenum cofactor biosynthesis protein C","---"
"CEG0775","K03646","COG3064M,COG0810M","colicin import membrane protein","---"
"CEG0776","K03648","COG0692L","uracil-DNA glycosylase","[EC:3.2.2.-]"
"CEG0777","K03651","COG1409R","Icc protein","---"
"CEG0778","K03665","COG2262R","GTP-binding protein HflX","---"
"CEG0779","K03666","COG1923R","host factor-I protein","---"
"CEG0780","K03672","COG3118O,COG0526OC","thioredoxin 2","[EC:1.8.1.8]"
"CEG0781","K03696","COG0542O","ATP-dependent Clp protease ATP-binding subunit ClpC","---"
"CEG0782","K03700","COG3331R","recombination protein U","---"
"CEG0783","K03701","COG0178L","excinuclease ABC subunit A","---"
"CEG0784","K03705","COG1420K","heat-inducible transcriptional repressor","---"
"CEG0785","K03746","COG2916R","DNA-binding protein H-NS","---"
"CEG0786","K03774","COG1047O","FKBP-type peptidyl-prolyl cis-trans isomerase SlpA","[EC:5.2.1.8]"
"CEG0787","K03784","COG0813F","purine-nucleoside phosphorylase","[EC:2.4.2.1]"
"CEG0788","K03789","COG0456R","ribosomal-protein-alanine N-acetyltransferase","[EC:2.3.1.128]"
"CEG0789","K03804","COG3095D","chromosome partition protein MukE","---"
"CEG0790","K03828","COG1246E,COG0454KR","putative acetyltransferase","[EC:2.3.1.-]"
"CEG0791","K03831","COG0521H","molybdopterin adenylyltransferase","---"
"CEG0792","K03973","COG1983KT","phage shock protein C","---"
"CEG0793","K04047","COG0783P","starvation-inducible DNA-binding protein","---"
"CEG0794","K04095","COG2184D","cell filamentation protein","---"
"CEG0795","K04754","COG0797M","lipoprotein","---"
"CEG0796","K04764","COG0776L","integration host factor subunit alpha","---"
"CEG0797","K05362","COG0769M","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase","[EC:6.3.2.7]"
"CEG0798","K05786","COG2962R","chloramphenicol-sensitive protein RarD","---"
"CEG0799","K05896","COG1354S","segregation and condensation protein A","---"
"CEG0800","K05946","COG1922M","N-acetylglucosaminyldiphosphoundecaprenol","[EC:2.4.1.187]"
"CEG0801","K05952","COG2991S","hypothetical protein","---"
"CEG0802","K05985","COG1658L","ribonuclease M5","[EC:3.1.26.8]"
"CEG0803","K06024","---","segregation and condensation protein B","---"
"CEG0804","K06133","COG2091H","4'-phosphopantetheinyl transferase","[EC:2.7.8.-]"
"CEG0805","K06142","COG2825M","outer membrane protein","---"
"CEG0806","K06147","COG1132V","ATP-binding cassette, subfamily B, bacterial","---"
"CEG0807","K06153","COG1968V","undecaprenyl-diphosphatase","[EC:3.6.1.27]"
"CEG0808","K06178","COG1187J","ribosomal large subunit pseudouridine synthase B","[EC:5.4.99.12]"
"CEG0809","K06191","COG0695O","glutaredoxin-like protein NrdH","---"
"CEG0810","K06196","COG0785O","cytochrome c-type biogenesis protein","---"
"CEG0811","K06223","COG0338L","DNA adenine methylase","[EC:2.1.1.72]"
"CEG0812","K06286","COG4477D","septation ring formation regulator","---"
"CEG0813","K06346","COG1847R","spoIIIJ-associated protein","---"
"CEG0814","K06878","COG0073R","---","---"
"CEG0815","K06885","COG1078R,COG1418R","---","---"
"CEG0816","K06890","COG0670R","---","---"
"CEG0817","K06891","COG2127S","ATP-dependent Clp protease adaptor protein ClpS","---"
"CEG0818","K06901","COG2252R","putative MFS transporter, AGZA family, xanthine/uracil permease","---"
"CEG0819","K06938","COG3313R","---","---"
"CEG0820","K06960","COG1837R","---","---"
"CEG0821","K06967","COG2384R","---","---"
"CEG0822","K06996","COG3324R","---","---"
"CEG0823","K07007","COG2081R","---","---"
"CEG0824","K07027","COG0392S","---","---"
"CEG0825","K07029","COG1597IR","---","---"
"CEG0826","K07030","COG1461R","---","---"
"CEG0827","K07090","COG0730R","---","---"
"CEG0828","K07107","COG0824R","acyl-CoA thioester hydrolase","[EC:3.1.2.-]"
"CEG0829","K07126","COG0790R","---","---"
"CEG0830","K07220","COG1392P","hypothetical protein","---"
"CEG0831","K07259","COG2027M","D-alanyl-D-alanine carboxypeptidase / D-alanyl-D-alanine-endopeptidase (penicillin-binding protein 4)","[EC:3.4.16.4 3.4.99.-]"
"CEG0832","K07320","COG2890J","putative adenine-specific DNA-methyltransferase","[EC:2.1.1.72]"
"CEG0833","K07390","COG0278O","monothiol glutaredoxin","---"
"CEG0834","K07391","COG0606O","magnesium chelatase family protein","---"
"CEG0835","K07397","COG1765O","putative redox protein","---"
"CEG0836","K07399","COG1333O","cytochrome c biogenesis protein","---"
"CEG0837","K07552","COG0477GEPR","MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein","---"
"CEG0838","K07574","---","putative RNA-binding protein containing KH domain","---"
"CEG0839","K07652","COG5002T","two-component system, OmpR family, sensor histidine kinase VicK","[EC:2.7.13.3]"
"CEG0840","K07733","COG3311K","prophage regulatory protein","---"
"CEG0841","K07742","COG2740K","hypothetical protein","---"
"CEG0842","K08316","COG0742L","ribosomal RNA small subunit methyltransferase D","[EC:2.1.1.171]"
"CEG0843","K08602","COG1164E","oligoendopeptidase F","[EC:3.4.24.-]"
"CEG0844","K08990","COG3768S","putative membrane protein","---"
"CEG0845","K09158","COG2921S","hypothetical protein","---"
"CEG0846","K09457","COG0780R","7-cyano-7-deazaguanine reductase","[EC:1.7.1.13]"
"CEG0847","K09692","COG1682GM","teichoic acid transport system permease protein","---"
"CEG0848","K09693","COG1134GM","teichoic acid transport system ATP-binding protein","[EC:3.6.3.40]"
"CEG0849","K09769","COG1692S","hypothetical protein","---"
"CEG0850","K09801","COG2914S","hypothetical protein","---"
"CEG0851","K09809","COG1887M","CDP-glycerol glycerophosphotransferase","[EC:2.7.8.12]"
"CEG0852","K09815","COG0803P","zinc transport system substrate-binding protein","---"
"CEG0853","K09889","---","hypothetical protein","---"
"CEG0854","K09892","COG3074S","hypothetical protein","---"
"CEG0855","K09908","COG3105S","hypothetical protein","---"
"CEG0856","K09911","COG3120S","hypothetical protein","---"
"CEG0857","K09913","COG3123S","hypothetical protein","---"
"CEG0858","K10540","COG1879G","methyl-galactoside transport system substrate-binding protein","---"
"CEG0859","K10763","COG0593L","DnaA-homolog protein","---"
"CEG0860","K10806","COG1607I","acyl-CoA thioesterase YciA","[EC:3.1.2.-]"
"CEG0861","K11071","COG1176E","spermidine/putrescine transport system permease protein","---"
"CEG0862","K11609","COG0304IQ","beta-ketoacyl ACP synthase","[EC:2.3.1.-]"
"CEG0863","K11755","COG0139E,COG0140E","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase","[EC:3.6.1.31 3.5.4.19]"
"CEG0864","K11996","COG0476H","adenylyltransferase and sulfurtransferase","---"
"CEG0865","K12524","COG0527E,COG0460E","bifunctional aspartokinase / homoserine dehydrogenase 1","[EC:2.7.2.4 1.1.1.3]"
"CEG0866","K13052","COG2919D","cell division protein DivIC","---"
"CEG0867","K13685","COG0472M","UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl 1-P transferase","[EC:2.7.8.-]"
"CEG0868","K14170","COG0077E,COG1605E","chorismate mutase / prephenate dehydratase","[EC:5.4.99.5 4.2.1.51]"
"CEG0869","K14652","COG0108H,COG0807H","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","[EC:4.1.99.12 3.5.4.25]"
"CEG0870","---","COG0110R","spr0965/PA14_14160",
"CEG0871","---","COG0168P","MG_322/ktrB",
"CEG0872","---","COG0251J","yoaB/HI1627",
"CEG0873","---","COG0317TK","relA/spoT",
"CEG0874","---","COG0346E","VCA0347/VCA0476",
"CEG0875","---","COG0438M","HI1698/Rv3032",
"CEG0876","---","COG0451MG","ybjS/STM0932",
"CEG0877","---","COG0454KR","SA1252/PA14_35200",
"CEG0878","---","COG0456R","VCA0382/VCA0470",
"CEG0879","---","COG0515RTKL","PA14_66090/PA14_66190",
"CEG0880","---","COG0531E","MG_225/yeeF",
"CEG0881","---","COG0558I","pgsA/VC1667",
"CEG0882","---","COG0586S","yqjA/HI1629",
"CEG0883","---","COG0590FJ","HI0906/PA14_15680",
"CEG0884","---","COG0607P","VC2654/ygaP",
"CEG0885","---","COG0639T","HI0762/yebW",
"CEG0886","---","COG0667C","STM2406/PA14_66010",
"CEG0887","---","COG0671I","HP0851/HP1580",
"CEG0888","---","COG0702MG","yraR/ACIAD1390",
"CEG0889","---","COG0721J","MG_098/gatC",
"CEG0890","---","COG0739M","HP0750/HP1054",
"CEG0891","---","COG0755O","resC/ccsB/ccsA",
"CEG0892","---","COG0769M","Rv3712/SAOUHSC_0210",
"CEG0893","---","COG0789K","spr1671/Rv1828",
"CEG0894","---","COG0811U","exbB/exbB_1/PA14_39630",
"CEG0895","---","COG1196D","smc/hmw2",
"CEG0896","---","COG1234R","Rv1339",
"CEG0897","---","COG1253R","MG_146/MYPU_5140",
"CEG0898","---","COG1284S","MG_432/MG_443",
"CEG0899","---","COG1296E","HI1738/spr0145",
"CEG0900","---","COG1316K","Rv3267/SAOUHSC_0136",
"CEG0901","---","COG1335Q","SA0181/ycaC",
"CEG0902","---","COG1357S","sopA/PA14_38880",
"CEG0903","---","COG1359S","VCA0636/PA14_38020",
"CEG0904","---","COG1368M","HI1246/SAOUHSC_00728",
"CEG0905","---","COG1502I","HP0190/nuc",
"CEG0906","---","COG1638G","HI0146/HI1028",
"CEG0907","---","COG1720S","VC0876/HI0510",
"CEG0908","---","COG1738S","yqgD/yrfF",
"CEG0909","---","COG1914P","SA0732/HI1728",
"CEG0910","---","COG2020O","HI0149/Rv2437",
"CEG0911","---","COG2030I","Rv0636/ufaA2",
"CEG0912","---","COG2110R","Rv0060/mig-3",
"CEG0913","---","COG2186K","yhcK/nanR/yhcK",
"CEG0914","---","COG2353S","VCA0539/yceI",
"CEG0915","---","COG2840S","ydaL/HI1202",
"CEG0916","---","COG2867I","yfjG/t2641",
"CEG0917","---","COG2946L","VC1463/ACIAD1858",
"CEG0918","---","COG3094S","VC2177/ychQ",
"CEG0919","---","COG3121NU","ybgP/yehC",
"CEG0920","---","COG3189S","SA0230/yeaO",
"CEG0921","---","COG3197P","VC1436/fixS",
"CEG0922","---","COG3381R","VC1515/HI1044",
"CEG0923","---","COG3395S","ygbK/HI1011",
"CEG0924","---","COG4123R","HI0423/HP1504",
"CEG0925","---","COG4313C","ACIAD0919/ACIAD1814",
"CEG0926","---","COG4472S","SA1445/SAOUHSC_01721",
"CEG0927","---","COG5562R","ybcV/ycgX",
"CEG0928","---","COG5567N","lppL",
"CEG0929","---","COG5662K","yhdL/Rv0736",
"CEG0930","---","---","phage replication protein Cri",
"CEG0931","---","---","yaiY",
"CEG1275","K00003","COG0460E","homoserine dehydrogenase","[EC:1.1.1.3]"
"CEG0933","K00016","COG0039C","L-lactate dehydrogenase","[EC:1.1.1.27]"
"CEG0934","K00018","COG1052CHR","glycerate dehydrogenase","[EC:1.1.1.29]"
"CEG0935","K00027","COG0281C","malate dehydrogenase (oxaloacetate-decarboxylating)","[EC:1.1.1.38]"
"CEG0936","K00029","COG0280C","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","[EC:1.1.1.40]"
"CEG0937","K00074","COG1250I","3-hydroxybutyryl-CoA dehydrogenase","[EC:1.1.1.157]"
"CEG0938","K00094","COG1063ER","galactitol-1-phosphate 5-dehydrogenase","[EC:1.1.1.251]"
"CEG0939","K00111","COG0578C","glycerol-3-phosphate dehydrogenase","[EC:1.1.5.3]"
"CEG0940","K00112","COG3075E","glycerol-3-phosphate dehydrogenase subunit B","[EC:1.1.5.3]"
"CEG0941","K00117","COG4993G","quinoprotein glucose dehydrogenase","[EC:1.1.5.2]"
"CEG0942","K00121","COG1062C","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","[EC:1.1.1.284 1.1.1.1]"
"CEG0943","K00130","COG1012C","betaine-aldehyde dehydrogenase","[EC:1.2.1.8]"
"CEG0944","K00147","COG0014E","glutamate-5-semialdehyde dehydrogenase","[EC:1.2.1.41]"
"CEG0945","K00155","COG1012C","---","---"
"CEG0946","K00163","COG2609C","pyruvate dehydrogenase E1 component","[EC:1.2.4.1]"
"CEG0947","K00166","COG1071C","2-oxoisovalerate dehydrogenase E1 component, alpha subunit","[EC:1.2.4.4]"
"CEG0948","K00167","COG0022C","2-oxoisovalerate dehydrogenase E1 component, beta subunit","[EC:1.2.4.4]"
"CEG0949","K00172","COG1014C","pyruvate ferredoxin oxidoreductase, gamma subunit","[EC:1.2.7.1]"
"CEG0950","K00174","COG0674C","2-oxoglutarate ferredoxin oxidoreductase subunit alpha","[EC:1.2.7.3]"
"CEG0951","K00175","COG1013C","2-oxoglutarate ferredoxin oxidoreductase subunit beta","[EC:1.2.7.3]"
"CEG0952","K00177","COG1014C","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","[EC:1.2.7.3]"
"CEG0953","K00226","COG0167F","dihydroorotate oxidase","[EC:1.3.3.1]"
"CEG0954","K00247","---","fumarate reductase subunit D","---"
"CEG0955","K00252","COG1960I","glutaryl-CoA dehydrogenase","[EC:1.3.99.7]"
"CEG0956","K00281","COG0403E","glycine dehydrogenase","[EC:1.4.4.2]"
"CEG0957","K00285","COG0665E","D-amino-acid dehydrogenase","[EC:1.4.99.1]"
"CEG0958","K00294","COG1012C","1-pyrroline-5-carboxylate dehydrogenase","[EC:1.5.1.12]"
"CEG0959","K00299","COG0431R","FMN reductase","[EC:1.5.1.29]"
"CEG0960","K00311","COG0644C","electron-transferring-flavoprotein dehydrogenase","[EC:1.5.5.1]"
"CEG0961","K00318","COG0506E","proline dehydrogenase","[EC:1.5.99.8]"
"CEG0962","K00330","COG0838C","NADH dehydrogenase I subunit A","[EC:1.6.5.3]"
"CEG0963","K00332","COG0852C","NADH dehydrogenase I subunit C","[EC:1.6.5.3]"
"CEG0964","K00333","COG0649C","NADH dehydrogenase I subunit D","[EC:1.6.5.3]"
"CEG0965","K00337","COG1005C","NADH dehydrogenase I subunit H","[EC:1.6.5.3]"
"CEG0966","K00339","COG0839C","NADH dehydrogenase I subunit J","[EC:1.6.5.3]"
"CEG0967","K00341","COG1009CP","NADH dehydrogenase I subunit L","[EC:1.6.5.3]"
"CEG0968","K00342","COG1008C","NADH dehydrogenase I subunit M","[EC:1.6.5.3]"
"CEG0969","K00349","COG1347C","Na+-transporting NADH:ubiquinone oxidoreductase subunit D","[EC:1.6.5.-]"
"CEG0970","K00356","COG0446R","NADH dehydrogenase","[EC:1.6.99.3]"
"CEG0971","K00364","COG0516F","GMP reductase","[EC:1.7.1.7]"
"CEG0972","K00366","COG0155P","ferredoxin-nitrite reductase","[EC:1.7.7.1]"
"CEG0973","K00370","COG5013C","nitrate reductase 1, alpha subunit","[EC:1.7.99.4]"
"CEG0974","K00371","COG1140C","nitrate reductase 1, beta subunit","[EC:1.7.99.4]"
"CEG0975","K00390","COG0175EH","phosphoadenosine phosphosulfate reductase","[EC:1.8.4.8]"
"CEG0976","K00392","COG0155P","sulfite reductase (ferredoxin)","[EC:1.8.7.1]"
"CEG0977","K00406","COG2010C","cb-type cytochrome c oxidase subunit III","[EC:1.9.3.1]"
"CEG0978","K00412","COG1290C","ubiquinol-cytochrome c reductase cytochrome b subunit","[EC:1.10.2.2]"
"CEG0979","K00432","COG0386O","glutathione peroxidase","[EC:1.11.1.9]"
"CEG0980","K00459","COG2070R","nitronate monooxygenase","[EC:1.13.12.16]"
"CEG0981","K00507","---","stearoyl-CoA desaturase (delta-9 desaturase)","[EC:1.14.19.1]"
"CEG0982","K00517","COG2124Q","---","---"
"CEG0983","K00540","COG1028IQR","---","---"
"CEG0984","K00571","---","site-specific DNA-methyltransferase (adenine-specific)","[EC:2.1.1.72]"
"CEG0985","K00573","COG2518O","protein-L-isoaspartate(D-aspartate) O-methyltransferase","[EC:2.1.1.77]"
"CEG0986","K00575","COG1352NT","chemotaxis protein methyltransferase CheR","[EC:2.1.1.80]"
"CEG0987","K00605","COG0404E","aminomethyltransferase","[EC:2.1.2.10]"
"CEG0988","K00610","COG1781F","aspartate carbamoyltransferase regulatory subunit","---"
"CEG0989","K00611","COG0078E","ornithine carbamoyltransferase","[EC:2.1.3.3]"
"CEG0990","K00616","COG0176G","transaldolase","[EC:2.2.1.2]"
"CEG0991","K00619","COG1246E","amino-acid N-acetyltransferase","[EC:2.3.1.1]"
"CEG0992","K00626","COG0183I","acetyl-CoA C-acetyltransferase","[EC:2.3.1.9]"
"CEG0993","K00635","---","diacylglycerol O-acyltransferase","[EC:2.3.1.20]"
"CEG0994","K00651","COG1897E","homoserine O-succinyltransferase","[EC:2.3.1.46]"
"CEG0995","K00656","COG1882C","formate C-acetyltransferase","[EC:2.3.1.54]"
